date,league_id,game_id,home_team,away_team,game_datetime,H_-4.00,H_-3.75,H_-3.50,H_-3.25,H_-3.00,H_-2.75,H_-2.50,H_-2.25,H_-2.00,H_-1.75,H_-1.50,H_-1.25,H_-1.00,H_-0.75,H_-0.50,H_-0.25,H_0.00,H_0.25,H_0.50,H_0.75,H_1.00,H_1.25,H_1.50,H_1.75,H_2.00,H_2.25,H_2.50,H_2.75,H_3.00,H_3.25,H_3.50,H_3.75,H_4.00,A_-4.00,A_-3.75,A_-3.50,A_-3.25,A_-3.00,A_-2.75,A_-2.50,A_-2.25,A_-2.00,A_-1.75,A_-1.50,A_-1.25,A_-1.00,A_-0.75,A_-0.50,A_-0.25,A_0.00,A_0.25,A_0.50,A_0.75,A_1.00,A_1.25,A_1.50,A_1.75,A_2.00,A_2.25,A_2.50,A_2.75,A_3.00,A_3.25,A_3.50,A_3.75,A_4.00
2025-08-21,1,165178,Pittsburgh Pirates,Toronto Blue Jays,2025-08-20T16:35:00+00:00,,,,,,,,,,,3.56,,3.07,,,,,,,,2.05,,1.83,,1.63,,1.52,,1.38,,,,,,,,,,,,,,,1.30,,1.40,,,,,,,,1.85,,2.09,,2.39,,2.64,,3.13,,,,
2025-08-21,1,165187,Philadelphia Phillies,Seattle Mariners,2025-08-20T17:05:00+00:00,,,,,4.00,,3.24,,2.96,,2.49,,2.04,,,,,,,,1.51,,1.42,,,,,,,,,,,,,,,1.25,,1.37,,1.44,,1.60,,1.85,,,,,,,,2.66,,2.95,,,,,,,,,,
2025-08-21,1,165183,Detroit Tigers,Houston Astros,2025-08-20T17:10:00+00:00,,,,,,,,,,,3.05,,2.58,,,,,,,,1.78,,1.62,,1.45,,1.38,,1.26,,,,,,,,,,,,,,,1.40,,1.54,,,,,,,,2.14,,2.44,,2.90,,3.18,,3.89,,,,
2025-08-21,1,165186,Arizona Diamondbacks,Cleveland Guardians,2025-08-20T19:40:00+00:00,,,,,4.38,,3.57,,3.32,,2.77,,2.33,,,,,,,,1.68,,1.54,,,,,,,,,,,,,,,1.22,,1.31,,1.36,,1.50,,1.66,,,,,,,,2.28,,2.55,,,,,,,,,,
2025-08-21,1,165188,Miami Marlins,St.Louis Cardinals,2025-08-20T22:40:00+00:00,,,,,4.63,,3.71,,3.44,,2.82,,2.35,,,,,,,,1.65,,1.51,,,,,,,,,,,,,,,1.20,,1.30,,1.34,,1.49,,1.65,,,,,,,,2.33,,2.63,,,,,,,,,,
2025-08-21,1,165181,Washington Nationals,New York Mets,2025-08-20T22:45:00+00:00,,,,,,,,,,,3.76,,3.27,,,,,,,,2.15,,1.89,,1.69,,1.56,,1.42,,,,,,,,,,,,,,,1.28,,1.36,,,,,,,,1.77,,2.01,,2.28,,2.52,,2.95,,,,
2025-08-21,1,165185,Atlanta Braves,Chicago White Sox,2025-08-20T23:15:00+00:00,,,,,3.27,,2.73,,2.48,,2.14,,1.77,,,,,,,,1.40,,1.33,,,,,,,,,,,,,,,1.35,,1.49,,1.60,,1.79,,2.15,,,,,,,,3.10,,3.38,,,,,,,,,,
2025-08-21,1,165179,Tampa Bay Rays,New York Yankees,2025-08-20T23:35:00+00:00,,,,,4.61,,3.69,,3.42,,2.82,,2.35,,,,,,,,1.67,,1.53,,,,,,,,,,,,,,,1.20,,1.30,,1.35,,1.49,,1.65,,,,,,,,2.29,,2.59,,,,,,,,,,
2025-08-21,1,165182,Kansas City Royals,Texas Rangers,2025-08-20T23:40:00+00:00,,,,,4.26,,3.41,,3.12,,2.58,,2.10,,,,,,,,1.56,,1.44,,,,,,,,,,,,,,,1.23,,1.34,,1.40,,1.56,,1.81,,,,,,,,2.53,,2.88,,,,,,,,,,
2025-08-21,1,165189,Minnesota Twins,Athletics,2025-08-20T23:40:00+00:00,,,,,4.16,,3.39,,3.12,,2.62,,2.18,,,,,,,,1.60,,1.48,,,,,,,,,,,,,,,1.24,,1.34,,1.40,,1.55,,1.75,,,,,,,,2.45,,2.72,,,,,,,,,,
2025-08-21,1,165190,Chicago Cubs,Milwaukee Brewers,2025-08-21T00:05:00+00:00,,,,,,,,,,,3.17,,2.64,,,,,,,,1.74,,1.57,,1.39,,1.32,,1.20,,,,,,,,,,,,,,,1.37,,1.52,,,,,,,,2.20,,2.57,,3.20,,3.53,,4.55,,,,
2025-08-21,1,165184,Colorado Rockies,Los Angeles Dodgers,2025-08-21T00:40:00+00:00,,,,,,,,,,,5.15,,4.77,,,,,,,,3.14,,2.66,,2.40,,2.13,,1.87,,,,,,,,,,,,,,,1.17,,1.20,,,,,,,,1.40,,1.54,,1.63,,1.77,,1.98,,,,
2025-08-21,1,165191,Los Angeles Angels,Cincinnati Reds,2025-08-21T01:38:00+00:00,,,,,4.28,,3.47,,3.20,,2.67,,2.21,,,,,,,,1.60,,1.48,,,,,,,,,,,,,,,1.23,,1.33,,1.39,,1.53,,1.74,,,,,,,,2.43,,2.71,,,,,,,,,,
2025-08-21,1,165180,San Diego Padres,San Francisco Giants,2025-08-21T01:40:00+00:00,,,,,4.17,,3.37,,3.10,,2.59,,2.12,,,,,,,,1.53,,1.42,,,,,,,,,,,,,,,1.24,,1.34,,1.41,,1.56,,1.79,,,,,,,,2.62,,2.94,,,,,,,,,,
